Story Title,Estimate,Vote Started,Voting Duration,Avg Voting Time,Fastest,Slowest,Actual
"As a contractor who is taking on the project after the original developers are done with it, I want to see a UML diagram, so that I can understand how the data is being mapped out.",40,24/10/2017 18:35:40,0:00:36,0:00:23,Bryan Leung,Mantu Nguyen,120
"As a contractor who is taking on the project after the original developers are done with it, I want to see their unit tests they wrote, so I can get a good idea of what inputs should be expected, and what outputs should be expected.",20,24/10/2017 18:34:40,0:00:24,0:00:13,Bryan Leung,Mantu Nguyen,40
"As a contractor who is taking on the project after the original developers are done with it, I want to see a list of data sources that the original developers used, so that I can see whether they still fit my current needs",20,24/10/2017 18:33:50,0:00:45,0:00:23,Bryan Leung,Mantu Nguyen,40
"As a developer who is calling the RESTful APIs that the original developers built, I want to see documentation for these RESTful APIs, so that I may understand how to  use their API",100,24/10/2017 18:32:40,0:00:36,0:00:27,Bryan Leung,Mantu Nguyen,200
"As a contractor who is taking on the project after the original developers are done with it, I want to see a technical report, so that I can understand how the developers planned out the structure of their application",100,24/10/2017 18:31:40,0:00:19,0:00:11,Bryan Leung,Mantu Nguyen,300
"As a user, I want to know more about the team who is behind the website so that I can either give suggestions or share my comments on the site.",20,24/10/2017 18:30:55,0:00:21,0:00:11,Bryan Leung,Mantu Nguyen,40
"As a user, I want to be able to scroll through and search in the database to see which which animals are on the verge of extinction",100,24/10/2017 18:30:22,0:00:25,0:00:15,Bryan Leung,Mantu Nguyen,400
"As a user, I want to know about the threats that one type of animals face, so that I can help preventing the threats if that is something within my ability.",40,24/10/2017 18:29:56,0:00:49,0:00:23,Bryan Leung,Mantu Nguyen,200
"As a user, I want to know the countries of where the endangered animals live so that I can have a better understanding the relation between the environment, human interaction and the animals.",20,24/10/2017 18:27:15,0:00:54,0:00:34,Bryan Leung,Mantu Nguyen,40
"As a user, I want to know about the habitats so that I can learn which animals belong to which habitats and how many types of animals can share the habitat together.",20,24/10/2017 18:25:15,0:00:59,0:00:34,Bryan Leung,Mantu Nguyen,40
"As a user, I want to know 3 aspects for each endangered animal: the habitats it resides in, the countries it resides in, and the threats that it faces, so that I can gain an overall understanding of the particular animal's predicament.",40,23/09/2017 18:31:56,0:00:33,0:00:09,Bryan Leung,Mantu Nguyen,60
"As a user, I want to be able to see an image of an animal, so that I have an understanding of what the endangered animal is.",?,23/09/2017 18:30:59,0:00:47,0:00:23,Bryan Leung,Mantu Nguyen,200
"As a user, I want to be able to see a video of an animal, so that I have an understanding of how the endangered animal operates.",40,23/09/2017 18:30:30,0:00:21,0:00:12,Bryan Leung,Mantu Nguyen,60
"As a user, I want to be able to get all the threats of an animal, so that I have an understanding of how the endangered animal is threatened.",100,23/09/2017 18:30:09,0:00:13,0:00:04,Bryan Leung,Mantu Nguyen,200
"As a user, I want to be able to get all the habitats and countries of an animal, so that I have an understanding of where the animal resides.",100,23/09/2017 18:29:40,0:00:20,0:00:09,Bryan Leung,Mantu Nguyen,200
"As a user, I want to be able to see an image of a habitat, so that I have an understanding of what the habitat is and what type of animals could live there.",100,23/09/2017 18:28:27,0:00:55,0:00:17,Bryan Leung,Mantu Nguyen,200
"As a user, I want to know if whether a threat is ongoing or not, so that I have an general understanding of how dangerous the threat is to the animals it is affecting.",40,23/09/2017 18:27:40,0:00:27,0:00:12,Bryan Leung,Mantu Nguyen,60
"As a user, I want to be able to see an average severity score of a threat (from 1-10), so that I have an understanding of how dangerous the threat is to the animals it is affecting.",40,23/09/2017 18:26:33,0:00:50,0:00:17,Bryan Leung,Mantu Nguyen,60
"As a user, I want to be able to open on google maps and see where a country is, so that I can have a good understanding of the geographical place of the country, relative to the world.",5,23/09/2017 18:24:40,0:01:17,0:00:30,Bryan Leung,Mantu Nguyen,40
"As a developer using the RESTful API, I want to be able to be able to pull all the data for all animals at once, so that I can obtain the data for all affected animals.",?,23/09/2017 17:37:53,0:04:51,0:04:43,Bryan Leung,Mantu Nguyen,200
